date,total_pnl,avg_execution_price,trade_count,avg_notional,win_rate,classification,value,sentiment_num,profitable_day
2023-05-01,0.0,1898.1333333333332,3,159.0,0.0,Greed,63.0,3.0,False
2023-12-05,0.0,11038.3,9,5556.203333333334,0.0,Extreme Greed,75.0,4.0,False
2023-12-14,-205.43473700000007,8031.868818181818,11,10291.213636363636,0.36363636363636365,Greed,72.0,3.0,False
2023-12-15,-24.632033999999997,2.982,2,5304.975,0.0,Greed,70.0,3.0,False
2023-12-16,0.0,0.3847066666666667,3,5116.256666666667,0.0,Greed,67.0,3.0,False
2023-12-17,304.982785,802.5418592857143,14,8305.572857142857,0.5,Greed,73.0,3.0,True
2023-12-18,0.0,2178.1000000000004,2,15582.089999999998,0.0,Greed,65.0,3.0,False
2023-12-19,1000.5386120000001,447.8019113333333,15,6106.827333333334,0.6666666666666666,Greed,73.0,3.0,True
2023-12-20,162.732282,6.722871666666666,18,7868.710555555556,0.4444444444444444,Greed,74.0,3.0,True
2023-12-21,537.211402,91.84020408163265,49,2555.795306122449,0.5306122448979592,Greed,70.0,3.0,True
2023-12-22,141.832675,30692.8325,10,8887.428,0.2,Greed,74.0,3.0,True
2023-12-23,146.936704,3.0702846153846153,13,6033.711538461538,0.6153846153846154,Greed,70.0,3.0,True
2023-12-24,1008.619956,13680.54118025641,39,10332.177948717948,0.38461538461538464,Greed,71.0,3.0,True
2023-12-25,-245.081348,2275.4,3,19982.836666666666,0.0,Greed,73.0,3.0,False
2023-12-27,-704.8892269999999,0.37319214285714286,28,6121.823571428571,0.14285714285714285,Greed,73.0,3.0,False
2023-12-28,-970.730876,0.4032943478260869,23,4352.923913043478,0.0,Greed,73.0,3.0,False
2023-12-29,508.92214299999995,3836.17816,50,11391.1944,0.3,Greed,65.0,3.0,True
2023-12-30,354.998648,13421.615271153847,52,13510.58096153846,0.4423076923076923,Greed,68.0,3.0,True
2024-01-01,-129.53146,10373.330666666667,18,14679.973888888888,0.05555555555555555,Greed,65.0,3.0,False
2024-01-02,783.979116,10199.892598764705,17,7138.1611764705885,0.47058823529411764,Greed,71.0,3.0,True
2024-01-03,866.015507,738.8837898507463,67,5888.050149253731,0.417910447761194,Greed,70.0,3.0,True
2024-01-04,-67.60364,2212.62,5,19958.508,0.0,Greed,68.0,3.0,False
2024-01-05,164.141565,30495.46818181818,66,25817.31303030303,0.19696969696969696,Greed,72.0,3.0,True
2024-01-06,135.58166400000002,6586.107318181818,22,13569.154545454547,0.45454545454545453,Greed,70.0,3.0,True
2024-01-07,-835.681235,7513.911021649485,97,10812.887216494846,0.09278350515463918,Greed,71.0,3.0,False
2024-01-08,-269.874439,15078.63093734375,128,11894.159609375,0.25,Greed,71.0,3.0,False
2024-01-09,-826.349863,14127.109546714286,70,12429.313857142857,0.2571428571428571,Extreme Greed,76.0,4.0,False
2024-01-10,-1517.091342,12914.76879230052,193,10660.515440414507,0.21243523316062177,Greed,73.0,3.0,False
2024-01-11,-164.08950099999998,12141.70542857143,21,14538.766666666666,0.23809523809523808,Extreme Greed,76.0,4.0,False
2024-01-12,-1925.519024,39774.47142857143,7,28583.181428571428,0.0,Greed,71.0,3.0,False
2024-01-15,152.85358,16738.085714285717,14,3616.8642857142854,0.6428571428571429,Neutral,52.0,2.0,True
2024-01-16,-2299.171458,19105.61008888889,9,12936.37,0.3333333333333333,Greed,64.0,3.0,False
2024-01-17,813.2741110000001,20112.302,53,15110.019433962265,0.20754716981132076,Greed,60.0,3.0,True
2024-01-18,68.93319,24363.11304347826,46,9231.120217391304,0.06521739130434782,Greed,63.0,3.0,True
2024-01-19,-385.419235,14421.93125,48,8925.603541666665,0.125,Neutral,51.0,2.0,False
2024-01-20,-146.57487000000003,14671.724672933962,106,10095.193490566038,0.14150943396226415,Neutral,52.0,2.0,False
2024-01-21,266.58114600000005,19141.940333454546,11,9375.43090909091,0.2727272727272727,Greed,56.0,3.0,True
2024-01-22,1375.640959,6179.383261176471,85,3975.0469411764707,0.27058823529411763,Greed,55.0,3.0,True
2024-01-23,-369.2447299999998,11768.913676111111,45,9211.531777777778,0.24444444444444444,Neutral,50.0,2.0,False
